"Path","RelPath","Ext","UsesJSX","HasTypes","UsesCJS","UsesRequire","UsesAlias","Bytes"
"C:\TruthSource\docs\comparison\converted to TS\AIBidStarter.ts","docs\comparison\converted to TS\AIBidStarter.ts",".ts","False","True","False","False","True","2451"
"C:\TruthSource\docs\comparison\converted to TS\AuctionHistoryTracker.test.tsx","docs\comparison\converted to TS\AuctionHistoryTracker.test.tsx",".tsx","True","True","False","False","True","2778"
"C:\TruthSource\docs\comparison\converted to TS\AuctionTemplateEngine.ts","docs\comparison\converted to TS\AuctionTemplateEngine.ts",".ts","True","True","False","False","True","2624"
"C:\TruthSource\docs\comparison\converted to TS\BidHeatmapEngine.ts","docs\comparison\converted to TS\BidHeatmapEngine.ts",".ts","True","True","False","False","True","3083"
"C:\TruthSource\docs\comparison\converted to TSX\AdminNotificationCenter.tsx","docs\comparison\converted to TSX\AdminNotificationCenter.tsx",".tsx","True","True","False","False","False","664"
"C:\TruthSource\docs\comparison\converted to TSX\AdminNotificationCenterGrokOld.tsx","docs\comparison\converted to TSX\AdminNotificationCenterGrokOld.tsx",".tsx","True","True","False","False","False","692"
"C:\TruthSource\docs\comparison\converted to TSX\AdminPaymentOverview.tsx","docs\comparison\converted to TSX\AdminPaymentOverview.tsx",".tsx","True","True","False","False","False","652"
"C:\TruthSource\docs\comparison\converted to TSX\AdminReportExport.tsx","docs\comparison\converted to TSX\AdminReportExport.tsx",".tsx","True","True","False","False","False","640"
"C:\TruthSource\docs\comparison\converted to TSX\AdminReports.tsx","docs\comparison\converted to TSX\AdminReports.tsx",".tsx","True","True","False","False","False","620"
"C:\TruthSource\docs\comparison\converted to TSX\AdminRoleAnalytics.tsx","docs\comparison\converted to TSX\AdminRoleAnalytics.tsx",".tsx","True","True","False","False","False","644"
"C:\TruthSource\docs\comparison\converted to TSX\AdminSummaryPanel.tsx","docs\comparison\converted to TSX\AdminSummaryPanel.tsx",".tsx","True","True","False","False","False","640"
"C:\TruthSource\docs\comparison\converted to TSX\AdminSupportTickets.tsx","docs\comparison\converted to TSX\AdminSupportTickets.tsx",".tsx","True","True","False","False","False","648"
"C:\TruthSource\docs\comparison\converted to TSX\AdminSystemHealth.tsx","docs\comparison\converted to TSX\AdminSystemHealth.tsx",".tsx","True","True","False","False","False","640"
"C:\TruthSource\docs\comparison\converted to TSX\AdminTitleDashboard.tsx","docs\comparison\converted to TSX\AdminTitleDashboard.tsx",".tsx","True","True","False","False","False","648"
"C:\TruthSource\docs\comparison\converted to TSX\AdminUserManager.tsx","docs\comparison\converted to TSX\AdminUserManager.tsx",".tsx","True","True","False","False","False","636"
"C:\TruthSource\docs\comparison\converted to TSX\AdvancedSmartRecommendations.tsx","docs\comparison\converted to TSX\AdvancedSmartRecommendations.tsx",".tsx","True","True","False","False","False","684"
"C:\TruthSource\docs\comparison\converted to TSX\ai.tsx","docs\comparison\converted to TSX\ai.tsx",".tsx","True","True","False","False","False","580"
"C:\TruthSource\docs\comparison\converted to TSX\AIAuctionSimulator.tsx","docs\comparison\converted to TSX\AIAuctionSimulator.tsx",".tsx","True","True","False","False","False","644"
"C:\TruthSource\docs\comparison\converted to TSX\AIBadgeOverlay.tsx","docs\comparison\converted to TSX\AIBadgeOverlay.tsx",".tsx","True","True","False","False","False","628"
"C:\TruthSource\docs\comparison\converted to TSX\AIDisputePredictorGrokOld (2).tsx","docs\comparison\converted to TSX\AIDisputePredictorGrokOld (2).tsx",".tsx","True","True","False","False","False","688"
"C:\TruthSource\docs\comparison\converted to TSX\AIDisputePredictorGrokOld4.tsx","docs\comparison\converted to TSX\AIDisputePredictorGrokOld4.tsx",".tsx","True","True","False","False","False","676"
"C:\TruthSource\docs\comparison\converted to TSX\AIEquityFinancer.tsx","docs\comparison\converted to TSX\AIEquityFinancer.tsx",".tsx","True","True","False","False","False","636"
"C:\TruthSource\docs\comparison\converted to TSX\AIFraudDetectionGrokOld2.tsx","docs\comparison\converted to TSX\AIFraudDetectionGrokOld2.tsx",".tsx","True","True","False","False","False","668"
"C:\TruthSource\docs\comparison\converted to TSX\AIFraudDetectionGrokOld3.tsx","docs\comparison\converted to TSX\AIFraudDetectionGrokOld3.tsx",".tsx","True","True","False","False","False","668"
"C:\TruthSource\docs\comparison\converted to TSX\AIInsightBuyer.tsx","docs\comparison\converted to TSX\AIInsightBuyer.tsx",".tsx","True","True","False","False","False","628"
"C:\TruthSource\docs\comparison\converted to TSX\AIInsightSeller.tsx","docs\comparison\converted to TSX\AIInsightSeller.tsx",".tsx","True","True","False","False","False","632"
"C:\TruthSource\docs\comparison\converted to TSX\AILenderMatchRecommenderGrokOld.tsx","docs\comparison\converted to TSX\AILenderMatchRecommenderGrokOld.tsx",".tsx","True","True","False","False","False","696"
