"File","Count"
"docs/comparison/converted to TSX/AuctionListingForm.tsx","38"
"docs/comparison/converted to TSX/AuctionHistoryTracker.tsx","35"
"docs/comparison/converted to TSX/SellerBadgePanel.tsx","27"
"docs/comparison/converted to TS/AuctionHistoryTracker.test.tsx","25"
"docs/comparison/converted to TSX/AuctionListingForm.test.tsx","21"
"docs/comparison/converted to TSX/BlockchainSnapshotViewer.tsx","19"
"docs/comparison/converted to TSX/HeatmapChart.tsx","19"
"docs/comparison/converted to TSX/LoanMatchEngine.tsx","8"
"docs/comparison/converted to TSX/LoanOffer.tsx","8"
"docs/comparison/converted to TSX/listingController.tsx","8"
"docs/comparison/converted to TSX/ListingDetails.tsx","8"
"docs/comparison/converted to TSX/LiveStreamAuction.tsx","8"
"docs/comparison/converted to TSX/LoanComparison.tsx","8"
"docs/comparison/converted to TSX/LoginForm.tsx","8"
"docs/comparison/converted to TSX/LoyaltyProgramEngineGrokOld.tsx","8"
"docs/comparison/converted to TSX/LoyaltyRewards.tsx","8"
"docs/comparison/converted to TSX/loanOfferController.tsx","8"
"docs/comparison/converted to TSX/LoanRequest.tsx","8"
"docs/comparison/converted to TSX/Login.tsx","8"
"docs/comparison/converted to TSX/LenderMatchPreviewCard.tsx","8"
"docs/comparison/converted to TSX/LenderOnboardingForm.tsx","8"
"docs/comparison/converted to TSX/LenderPreApprovalDashboard.tsx","8"
"docs/comparison/converted to TSX/LenderInsightsPanel.tsx","8"
"docs/comparison/converted to TSX/LenderMatchEngineGrokOld4.tsx","8"
"docs/comparison/converted to TSX/LenderMatchListView.tsx","8"
"docs/comparison/converted to TSX/LenderProfilePage.tsx","8"
"docs/comparison/converted to TSX/lenderTermsHistoryRouteOld.tsx","8"
"docs/comparison/converted to TSX/listing-suggestions.tsx","8"
"docs/comparison/converted to TSX/ListingApproval.tsx","8"
"docs/comparison/converted to TSX/LenderReputationSummary.tsx","8"
"docs/comparison/converted to TSX/LenderReviewDashboard.tsx","8"
"docs/comparison/converted to TSX/LenderTermsExporterGrokOld2.tsx","8"
"docs/comparison/converted to TSX/main.02538dfd.tsx","8"
"docs/comparison/converted to TSX/Messaging.tsx","8"
"docs/comparison/converted to TSX/MessagingService.tsx","8"
"docs/comparison/converted to TSX/missionRoutes.tsx","8"
"docs/comparison/converted to TSX/messages.tsx","8"
"docs/comparison/converted to TSX/MessageBubble.tsx","8"
"docs/comparison/converted to TSX/messageControllerGrokOld.tsx","8"
"docs/comparison/converted to TSX/messageRoutes.tsx","8"
"docs/comparison/converted to TSX/MLModel.tsx","8"
"docs/comparison/converted to TSX/Navbar.tsx","8"
"docs/comparison/converted to TSX/NavbarMobileToggle.tsx","8"
"docs/comparison/converted to TSX/notification.tsx","8"
"docs/comparison/converted to TSX/MyDisputes.tsx","8"
"docs/comparison/converted to TSX/MLModeldOld.tsx","8"
"docs/comparison/converted to TSX/MobileBidHandler.tsx","8"
"docs/comparison/converted to TSX/MobileNotifications.tsx","8"
"docs/comparison/converted to TSX/MechanicBadgeCelebrationLogic.tsx","8"
"docs/comparison/converted to TSX/mechanicBucket.tsx","8"
"docs/comparison/converted to TSX/MechanicDashboard.tsx","8"
"docs/comparison/converted to TSX/MechanicAuctionHistory.tsx","8"
"docs/comparison/converted to TSX/main.d73b4b69.tsx","8"
"docs/comparison/converted to TSX/MarketplaceInsightsDashboard.cy.tsx","8"
"docs/comparison/converted to TSX/MechanicAIRepairRecommender.tsx","8"
"docs/comparison/converted to TSX/MechanicFeedbackLogger.tsx","8"
"docs/comparison/converted to TSX/mechanicRoutes.tsx","8"
"docs/comparison/converted to TSX/MechanicVoiceDictationOld.tsx","8"
"docs/comparison/converted to TSX/Message.tsx","8"
"docs/comparison/converted to TSX/mechanicMilestoneTracker.tsx","8"
"docs/comparison/converted to TSX/MechanicFeedbackLoggerOld.tsx","8"
"docs/comparison/converted to TSX/mechanicHealthCheck.tsx","8"
"docs/comparison/converted to TSX/MechanicInspectionDetail.tsx","8"
"docs/comparison/converted to TSX/inspectionReportRoutes.tsx","8"
"docs/comparison/converted to TSX/InspectionReportViewer.tsx","8"
"docs/comparison/converted to TSX/InspectionReportViewerPage.tsx","8"
"docs/comparison/converted to TSX/InspectionReportList.tsx","8"
"docs/comparison/converted to TSX/InspectionIndexPage.tsx","8"
"docs/comparison/converted to TSX/InspectionModal.tsx","8"
"docs/comparison/converted to TSX/inspectionPdfController.tsx","8"
"docs/comparison/converted to TSX/InstitutionalWaiverModal.tsx","8"
"docs/comparison/converted to TSX/InsuranceBidPortal.tsx","8"
"docs/comparison/converted to TSX/InsuranceDashboard.tsx","8"
"docs/comparison/converted to TSX/inspectionSubmitRoute.tsx","8"
"docs/comparison/converted to TSX/inspectionRoutes.tsx","8"
"docs/comparison/converted to TSX/inspections.tsx","8"
"docs/comparison/converted to TSX/InspectionSearchBar.tsx","8"
"docs/comparison/converted to TSX/InspectionForm.tsx","8"
"docs/comparison/converted to TSX/holdRequests.tsx","8"
"docs/comparison/converted to TSX/ImageUploader.tsx","8"
"docs/comparison/converted to TSX/index.tsx","8"
"docs/comparison/converted to TSX/historyOld1.tsx","8"
"docs/comparison/converted to TSX/Heatmap.tsx","8"
"docs/comparison/converted to TSX/history.tsx","8"
"docs/comparison/converted to TSX/historyOld.tsx","8"
"docs/comparison/converted to TSX/InsightsService.tsx","8"
"docs/comparison/converted to TSX/Inspection.tsx","8"
"docs/comparison/converted to TSX/inspectionController.tsx","8"
"docs/comparison/converted to TSX/insights.tsx","8"
"docs/comparison/converted to TSX/input-placeholder.tsx","8"
"docs/comparison/converted to TSX/Input.tsx","8"
"docs/comparison/converted to TSX/InsightGenerator.tsx","8"
"docs/comparison/converted to TSX/LenderAuctionHistory.tsx","8"
"docs/comparison/converted to TSX/LenderBidDetailCard.tsx","8"
"docs/comparison/converted to TSX/LenderBiddingDashboard.tsx","8"
"docs/comparison/converted to TSX/LenderAnalyticsDashboard.tsx","8"
"docs/comparison/converted to TSX/JudgeVotePanel.tsx","8"
"docs/comparison/converted to TSX/LaunchChecklist.tsx","8"
